ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
A17U.SI,graham_defensive,Graham Defensive,False,0.5,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=1.14', 'Dividend payer: yield=730.00%']","['P/E >= 15', 'current ratio < 2']",
A17U.SI,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=15.1', 'P/B < 3: P/B=1.14', 'Debt/equity < 100%: D/E=64%']","['ROE <= 8%', 'negative earnings growth']",
A17U.SI,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
A17U.SI,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=1.14'],['too much leverage'],
A17U.SI,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
A17U.SI,earnings_yield,Earnings Yield,False,0.5512,['E/P=6.6% (P/E=15.1)'],['earnings yield 6.6% below 8%'],
A17U.SI,fcf_yield,FCF Yield,False,0.2453,['FCF yield=2.5%'],['FCF yield 2.5% below 5%'],
A17U.SI,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=730.0%'],['P/E not below 12.0'],
A17U.SI,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
A17U.SI,neff_pegy,Neff PEGY,True,0.9791,"['PEGY=0.02', 'growth=-7.8%', 'yield=730.0%']",[],
A17U.SI,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=57.5%', 'Debt/equity < 80%: D/E=64%', 'P/E < 20: P/E=15.1']","['ROE below 12%', 'FCF yield below 3%']",
A17U.SI,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=57.5%', 'P/E < 25.0: P/E=15.1']","['ROE too low', 'too much debt']",
A17U.SI,economic_moat,Economic Moat,False,0.25,['wide margin=57.5%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
A17U.SI,high_dividend,High Dividend Yield,True,0.9667,"['yield=730.0%', 'universe rank 97%']",[],
A17U.SI,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=730.0%', 'reasonable P/E: P/E=15.1']",['earnings not growing'],
A17U.SI,magic_formula,Magic Formula,True,0.6923,"['earnings yield rank 77%', 'ROIC rank 62%']",[],
A17U.SI,acquirers_multiple,Acquirer's Multiple,False,0.8077,"['EV/EBIT=15.0', 'universe rank 81%']",['EV/EBIT 15.0 above 12.0'],
A17U.SI,dreman_contrarian,Dreman Contrarian,False,0.7398,['dividend rank 97%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
A17U.SI,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'gross margin improving']","['F-Score 4/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'no share dilution', 'asset turnover improving']","{'f_score': 4, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
A17U.SI,composite_value,Composite Value,False,0.5735,"['top-tier on trailing_pe (percentile 75%)', 'top-tier on dividend_yield (percentile 92%)']",['missing ev_ebitda'],
A17U.SI,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=1.37', 'ratio=-1.46%']",['weak free-cash conversion'],
A17U.SI,financial_health,Financial Health,False,0.8,"['D/E=64%', 'leverage=40.0%', 'insufficient data — skipped', 'coverage=3.6x']",['weak liquidity'],
C38U.SI,graham_defensive,Graham Defensive,False,0.5,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=1.16', 'Dividend payer: yield=625.00%']","['P/E >= 15', 'current ratio < 2']",
C38U.SI,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=19.2', 'P/B < 3: P/B=1.16', 'Debt/equity < 100%: D/E=62%']","['ROE <= 8%', 'negative earnings growth']",
C38U.SI,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
C38U.SI,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=1.16'],['too much leverage'],
C38U.SI,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
C38U.SI,earnings_yield,Earnings Yield,False,0.4351,['E/P=5.2% (P/E=19.2)'],['earnings yield 5.2% below 8%'],
C38U.SI,fcf_yield,FCF Yield,False,0.0581,['FCF yield=0.6%'],['FCF yield 0.6% below 5%'],
C38U.SI,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=625.0%'],['P/E not below 12.0'],
C38U.SI,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
C38U.SI,neff_pegy,Neff PEGY,True,0.9688,"['PEGY=0.03', 'growth=-11.8%', 'yield=625.0%']",[],
C38U.SI,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=57.9%', 'Debt/equity < 80%: D/E=62%', 'P/E < 20: P/E=19.2']","['ROE below 12%', 'FCF yield below 3%']",
C38U.SI,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=57.9%', 'P/E < 25.0: P/E=19.2']","['ROE too low', 'too much debt']",
C38U.SI,economic_moat,Economic Moat,False,0.25,['wide margin=57.9%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
C38U.SI,high_dividend,High Dividend Yield,True,0.8667,"['yield=625.0%', 'universe rank 87%']",[],
C38U.SI,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=625.0%', 'reasonable P/E: P/E=19.2']",['earnings not growing'],
C38U.SI,magic_formula,Magic Formula,False,0.25,[],['below top half on combined Magic Formula rank'],
C38U.SI,acquirers_multiple,Acquirer's Multiple,False,0.3077,"['EV/EBIT=27.2', 'universe rank 31%']","['EV/EBIT 27.2 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
C38U.SI,dreman_contrarian,Dreman Contrarian,False,0.6284,['dividend rank 87%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
C38U.SI,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'current ratio improving', 'gross margin improving']","['F-Score 5/9 below 7', 'ROA improving', 'leverage declining', 'no share dilution', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
C38U.SI,composite_value,Composite Value,False,0.4083,['top-tier on dividend_yield (percentile 75%)'],[],
C38U.SI,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=1.17', 'ratio=-0.58%']",['weak free-cash conversion'],
C38U.SI,financial_health,Financial Health,False,0.6,"['D/E=62%', 'leverage=36.5%', 'coverage=3.8x']","['weak liquidity', 'high net debt/EBITDA']",
9CI.SI,graham_defensive,Graham Defensive,False,0.5,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=1.05', 'Dividend payer: yield=451.00%']","['P/E >= 15', 'current ratio < 2']",
9CI.SI,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=1.05', 'Debt/equity < 100%: D/E=63%']","['P/E >= 25', 'ROE <= 8%', 'negative earnings growth']",
9CI.SI,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
9CI.SI,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=1.05'],['too much leverage'],
9CI.SI,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
9CI.SI,earnings_yield,Earnings Yield,False,0.094,['E/P=1.1% (P/E=88.7)'],['earnings yield 1.1% below 8%'],
9CI.SI,fcf_yield,FCF Yield,False,0.2247,['FCF yield=2.2%'],['FCF yield 2.2% below 5%'],
9CI.SI,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=451.0%'],['P/E not below 12.0'],
9CI.SI,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[],
9CI.SI,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=451.0%']",['PEGY nan >= 1.0'],
9CI.SI,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=6.8%', 'Debt/equity < 80%: D/E=63%']","['ROE below 12%', 'P/E >= 20', 'FCF yield below 3%']",
9CI.SI,buffett_quality,Buffett Quality,False,0.0,[],"['ROE too low', 'too much debt', 'thin margins', 'P/E too high']",
9CI.SI,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
9CI.SI,high_dividend,High Dividend Yield,False,0.5,"['yield=451.0%', 'universe rank 50%']",['not in top quartile for yield'],
9CI.SI,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=451.0%'],"['earnings not growing', 'P/E out of range']",
9CI.SI,magic_formula,Magic Formula,False,0.1154,[],['below top half on combined Magic Formula rank'],
9CI.SI,acquirers_multiple,Acquirer's Multiple,False,0.1923,"['EV/EBIT=36.4', 'universe rank 19%']","['EV/EBIT 36.4 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
9CI.SI,dreman_contrarian,Dreman Contrarian,False,0.3847,"['low P/B rank 62%', 'dividend rank 50%']",['P/E not in bottom quartile'],
9CI.SI,piotroski_f,Piotroski F-Score,False,0.6667,"['F-Score=6/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'current ratio improving', 'no share dilution', 'gross margin improving']","['F-Score 6/9 below 7', 'ROA improving', 'leverage declining', 'asset turnover improving']","{'f_score': 6, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
9CI.SI,composite_value,Composite Value,False,0.2208,[],[],
9CI.SI,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=2.06', 'OCF/NI=3.39', 'ratio=-1.43%']",[],
