ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
BABA,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=85.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
BABA,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=19.0', 'P/B < 3: P/B=1.83', 'Debt/equity < 100%: D/E=25%', 'ROE > 8%: ROE=9.2%', 'Positive earnings growth: growth=104.1%']",[],
BABA,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
BABA,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=25%'],['P/B too high'],
BABA,deep_value,Deep Value,False,0.5,['EV/EBITDA=2.9'],['P/B not below 1.0'],
BABA,earnings_yield,Earnings Yield,False,0.4388,['E/P=5.3% (P/E=19.0)'],['earnings yield 5.3% below 8%'],
BABA,fcf_yield,FCF Yield,False,0.0,['FCF yield=-14.9%'],['FCF yield -14.9% below 5%'],
BABA,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=85.0%'],['P/E not below 12.0'],
BABA,lynch_peg,Lynch PEG,True,0.8176,"['PEG=0.18', 'growth=104.1%']",[],
BABA,neff_pegy,Neff PEGY,True,0.8996,"['PEGY=0.10', 'growth=104.1%', 'yield=85.0%']",[],
BABA,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=10.1%', 'Debt/equity < 80%: D/E=25%', 'P/E < 20: P/E=19.0']","['ROE below 12%', 'FCF yield below 3%']",
BABA,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=25%', 'margin >= 8%: margin=10.1%', 'P/E < 25.0: P/E=19.0']",['ROE too low'],
BABA,economic_moat,Economic Moat,False,0.25,['low leverage D/E=25%'],"['ROE below 18%', 'ROA below 8%', 'margins below 12%']",
BABA,high_dividend,High Dividend Yield,False,0.1579,"['yield=85.0%', 'universe rank 16%']",['not in top quartile for yield'],
BABA,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=85.0%', 'earnings growth: growth=104.1%', 'reasonable P/E: P/E=19.0']",[],
BABA,magic_formula,Magic Formula,True,0.5556,['earnings yield rank 72%'],[],
BABA,acquirers_multiple,Acquirer's Multiple,False,0.3889,"['EV/EBIT=5.4', 'universe rank 39%']",['not in top 40% cheapest on EV/EBIT'],
BABA,dreman_contrarian,Dreman Contrarian,False,0.3582,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
BABA,piotroski_f,Piotroski F-Score,False,0.3333,"['F-Score=3/9', 'positive net income', 'positive operating cash flow', 'no share dilution']","['F-Score 3/9 below 7', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 3, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
BABA,composite_value,Composite Value,False,0.3729,[],[],
BABA,earnings_quality,Earnings Quality,False,0.3333,['ratio=1.43%'],"['weak free-cash conversion', 'operating cash below earnings']",
BABA,financial_health,Financial Health,True,1.0,"['D/E=25%', 'leverage=14.8%', 'CR=1.28', 'ratio=-0.3', 'coverage=6.1x']",[],
