ticker,model_id,model_name,passed,score,reasons,failed_criteria
AEWU.L,graham_defensive,Graham Defensive,False,0.75,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=0.98', 'Current ratio >= 2: CR=4.22', 'Dividend payer: yield=763.00%']",['P/E >= 15']
AEWU.L,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=17.7', 'P/B < 3: P/B=0.98', 'Debt/equity < 100%: D/E=35%']","['ROE <= 8%', 'negative earnings growth']"
AEWU.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
AEWU.L,schloss,Schloss Low P/B,True,1.0,"['P/B < 1.2: P/B=0.98', 'D/E < 50.0%: D/E=35%']",[]
AEWU.L,deep_value,Deep Value,False,0.5,['P/B=0.98'],['EV/EBITDA not below 8']
AEWU.L,earnings_yield,Earnings Yield,False,0.4708,['E/P=5.6% (P/E=17.7)'],['earnings yield 5.6% below 8%']
AEWU.L,fcf_yield,FCF Yield,False,0.0794,['FCF yield=0.8%'],['FCF yield 0.8% below 5%']
AEWU.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=763.0%'],['P/E not below 12.0']
AEWU.L,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth']
AEWU.L,neff_pegy,Neff PEGY,True,0.9757,"['PEGY=0.02', 'growth=-35.0%', 'yield=763.0%']",[]
AEWU.L,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=43.3%', 'Debt/equity < 80%: D/E=35%', 'P/E < 20: P/E=17.7']","['ROE below 12%', 'FCF yield below 3%']"
AEWU.L,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=35%', 'margin >= 8%: margin=43.3%', 'P/E < 25.0: P/E=17.7']",['ROE too low']
AEWU.L,economic_moat,Economic Moat,False,0.5,"['wide margin=43.3%', 'low leverage D/E=35%']","['ROE below 18%', 'ROA below 8%']"
AEWU.L,high_dividend,High Dividend Yield,True,0.7755,"['yield=763.0%', 'universe rank 78%']",[]
AEWU.L,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=763.0%', 'reasonable P/E: P/E=17.7']",['earnings not growing']
AEWU.L,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
AEWU.L,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
AEWU.L,dreman_contrarian,Dreman Contrarian,False,0.5143,['dividend rank 78%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']"
AEWU.L,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'no share dilution']","['F-Score 4/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'gross margin improving', 'asset turnover improving']"
AEWU.L,composite_value,Composite Value,False,0.3357,[],['missing ev_ebitda']
AEWU.L,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=1.64', 'ratio=-2.66%']",['weak free-cash conversion']
AEWU.L,financial_health,Financial Health,False,0.6,"['D/E=35%', 'leverage=25.0%', 'insufficient data — skipped']","['weak liquidity', 'weak interest coverage']"
APTD.L,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=273.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
APTD.L,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=2.06', 'Debt/equity < 100%: D/E=15%']","['P/E >= 25', 'ROE <= 8%', 'negative earnings growth']"
APTD.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
APTD.L,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=15%'],['P/B too high']
APTD.L,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
APTD.L,earnings_yield,Earnings Yield,False,0.2902,['E/P=3.5% (P/E=28.7)'],['earnings yield 3.5% below 8%']
APTD.L,fcf_yield,FCF Yield,True,0.8843,['FCF yield=8.8%'],[]
APTD.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=273.0%'],['P/E not below 12.0']
APTD.L,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth']
APTD.L,neff_pegy,Neff PEGY,True,0.8909,"['PEGY=0.11', 'growth=-9.7%', 'yield=273.0%']",[]
APTD.L,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=6.2%', 'Debt/equity < 80%: D/E=15%', 'FCF yield >= 3%: FCF yield=8.8%']","['ROE below 12%', 'P/E >= 20']"
APTD.L,buffett_quality,Buffett Quality,False,0.25,['D/E < 60.0%: D/E=15%'],"['ROE too low', 'thin margins', 'P/E too high']"
APTD.L,economic_moat,Economic Moat,False,0.25,['low leverage D/E=15%'],"['ROE below 18%', 'ROA below 8%', 'margins below 12%']"
APTD.L,high_dividend,High Dividend Yield,False,0.2857,"['yield=273.0%', 'universe rank 29%']",['not in top quartile for yield']
APTD.L,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=273.0%'],"['earnings not growing', 'P/E out of range']"
APTD.L,magic_formula,Magic Formula,True,0.5488,['ROIC rank 61%'],[]
APTD.L,acquirers_multiple,Acquirer's Multiple,False,0.4,"['EV/EBIT=13.4', 'universe rank 40%']","['EV/EBIT 13.4 above 12.0', 'not in top 40% cheapest on EV/EBIT']"
APTD.L,dreman_contrarian,Dreman Contrarian,False,0.1999,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']"
APTD.L,piotroski_f,Piotroski F-Score,True,0.8889,"['F-Score=8/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving', 'asset turnover improving']",['ROA improving']
APTD.L,composite_value,Composite Value,False,0.525,"['top-tier on trailing_pe (percentile 100%)', 'top-tier on fcf_yield (percentile 75%)']",[]
APTD.L,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=2.36', 'OCF/NI=2.50', 'ratio=-5.69%']",[]
APTD.L,financial_health,Financial Health,False,0.8,"['D/E=15%', 'leverage=7.8%', 'ratio=-2.5', 'coverage=21.1x']",['weak liquidity']
ATS.L,graham_defensive,Graham Defensive,False,0.5,"['P/E < 15: P/E=6.8', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=0.89']","['current ratio < 2', 'no dividend']"
ATS.L,graham_enterprising,Graham Enterprising,False,0.4,"['P/E < 25: P/E=6.8', 'P/B < 3: P/B=0.89']","['excessive leverage', 'ROE <= 8%', 'negative earnings growth']"
ATS.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ATS.L,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=0.89'],['too much leverage']
ATS.L,deep_value,Deep Value,False,0.5,['P/B=0.89'],['EV/EBITDA not below 8']
ATS.L,earnings_yield,Earnings Yield,True,1.0,['E/P=14.6% (P/E=6.8)'],[]
ATS.L,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
ATS.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['P/E=6.8'],['yield below 4%']
ATS.L,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[]
ATS.L,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=nan%']",['PEGY nan >= 1.0']
ATS.L,quality_value,Quality Value,False,0.2,['P/E < 20: P/E=6.8'],"['ROE below 12%', 'thin margins', 'high leverage', 'FCF yield below 3%']"
ATS.L,buffett_quality,Buffett Quality,False,0.25,['P/E < 25.0: P/E=6.8'],"['ROE too low', 'too much debt', 'thin margins']"
ATS.L,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']"
ATS.L,high_dividend,High Dividend Yield,False,0.0,[],['could not rank yield']
ATS.L,dividend_growth,Dividend Growth,False,0.3333,['reasonable P/E: P/E=6.8'],"['yield too low', 'earnings not growing']"
ATS.L,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
ATS.L,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
ATS.L,dreman_contrarian,Dreman Contrarian,False,0.7104,['low P/E rank 89%'],['P/B not cheap vs universe']
ATS.L,piotroski_f,Piotroski F-Score,False,0.0,['F-Score=0/9'],"['F-Score 0/9 below 7', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving', 'asset turnover improving']"
ATS.L,composite_value,Composite Value,False,0.7305,['top-tier on trailing_pe (percentile 89%)'],"['missing dividend_yield', 'missing fcf_yield', 'missing ev_ebitda']"
ATS.L,earnings_quality,Earnings Quality,False,0.5,['insufficient data — skipped'],['missing net income']
ATS.L,financial_health,Financial Health,False,0.4,"['insufficient data — skipped', 'insufficient data — skipped']","['high debt to equity', 'high leverage', 'weak liquidity']"
CTPE.L,graham_defensive,Graham Defensive,True,1.0,"['P/E < 15: P/E=14.7', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=0.71', 'Current ratio >= 2: CR=3.05', 'Dividend payer: yield=568.00%']",[]
CTPE.L,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=14.7', 'P/B < 3: P/B=0.71', 'Debt/equity < 100%: D/E=20%']","['ROE <= 8%', 'negative earnings growth']"
CTPE.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
CTPE.L,schloss,Schloss Low P/B,True,1.0,"['P/B < 1.2: P/B=0.71', 'D/E < 50.0%: D/E=20%']",[]
CTPE.L,deep_value,Deep Value,False,0.5,['P/B=0.71'],['EV/EBITDA not below 8']
CTPE.L,earnings_yield,Earnings Yield,False,0.5684,['E/P=6.8% (P/E=14.7)'],['earnings yield 6.8% below 8%']
CTPE.L,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
CTPE.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=568.0%'],['P/E not below 12.0']
CTPE.L,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[]
CTPE.L,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=568.0%']",['PEGY nan >= 1.0']
CTPE.L,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=58.1%', 'Debt/equity < 80%: D/E=20%', 'P/E < 20: P/E=14.7']","['ROE below 12%', 'FCF yield below 3%']"
CTPE.L,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=20%', 'margin >= 8%: margin=58.1%', 'P/E < 25.0: P/E=14.7']",['ROE too low']
CTPE.L,economic_moat,Economic Moat,False,0.5,"['wide margin=58.1%', 'low leverage D/E=20%']","['ROE below 18%', 'ROA below 8%']"
CTPE.L,high_dividend,High Dividend Yield,False,0.6939,"['yield=568.0%', 'universe rank 69%']",['not in top quartile for yield']
CTPE.L,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=568.0%', 'reasonable P/E: P/E=14.7']",['earnings not growing']
CTPE.L,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
CTPE.L,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
CTPE.L,dreman_contrarian,Dreman Contrarian,False,0.6382,"['low P/B rank 72%', 'dividend rank 69%']",['P/E not in bottom quartile']
CTPE.L,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'no share dilution', 'asset turnover improving']","['F-Score 5/9 below 7', 'OCF > net income', 'leverage declining', 'current ratio improving', 'gross margin improving']"
CTPE.L,composite_value,Composite Value,False,0.5824,['top-tier on price_to_book (percentile 83%)'],"['missing fcf_yield', 'missing ev_ebitda']"
CTPE.L,earnings_quality,Earnings Quality,False,0.3333,['ratio=3.64%'],"['weak free-cash conversion', 'operating cash below earnings']"
CTPE.L,financial_health,Financial Health,False,0.6,"['D/E=20%', 'leverage=17.5%', 'insufficient data — skipped']","['weak liquidity', 'weak interest coverage']"
CREI.L,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=8.8', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=0.89', 'Dividend payer: yield=680.00%']",['current ratio < 2']
CREI.L,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=8.8', 'P/B < 3: P/B=0.89', 'Debt/equity < 100%: D/E=38%', 'ROE > 8%: ROE=10.6%']",['negative earnings growth']
CREI.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
CREI.L,schloss,Schloss Low P/B,True,1.0,"['P/B < 1.2: P/B=0.89', 'D/E < 50.0%: D/E=38%']",[]
CREI.L,deep_value,Deep Value,False,0.5,['P/B=0.89'],['EV/EBITDA not below 8']
CREI.L,earnings_yield,Earnings Yield,True,0.9438,['E/P=11.3% (P/E=8.8)'],[]
CREI.L,fcf_yield,FCF Yield,True,0.5066,['FCF yield=5.1%'],[]
CREI.L,low_pe_high_yield,Low P/E + High Yield,True,1.0,"['P/E=8.8', 'yield=680.0%']",[]
CREI.L,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth']
CREI.L,neff_pegy,Neff PEGY,True,0.9867,"['PEGY=0.01', 'growth=-17.5%', 'yield=680.0%']",[]
CREI.L,quality_value,Quality Value,False,0.8,"['Profit margin >= 5%: margin=92.3%', 'Debt/equity < 80%: D/E=38%', 'P/E < 20: P/E=8.8', 'FCF yield >= 3%: FCF yield=5.1%']",['ROE below 12%']
CREI.L,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=38%', 'margin >= 8%: margin=92.3%', 'P/E < 25.0: P/E=8.8']",['ROE too low']
CREI.L,economic_moat,Economic Moat,False,0.5,"['wide margin=92.3%', 'low leverage D/E=38%']","['ROE below 18%', 'ROA below 8%']"
CREI.L,high_dividend,High Dividend Yield,True,0.7551,"['yield=680.0%', 'universe rank 76%']",[]
CREI.L,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=680.0%', 'reasonable P/E: P/E=8.8']",['earnings not growing']
CREI.L,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
CREI.L,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
CREI.L,dreman_contrarian,Dreman Contrarian,True,0.6939,"['low P/E rank 78%', 'dividend rank 76%']",['P/B not cheap vs universe']
CREI.L,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'leverage declining', 'asset turnover improving']","['F-Score 5/9 below 7', 'OCF > net income', 'current ratio improving', 'no share dilution', 'gross margin improving']"
CREI.L,composite_value,Composite Value,False,0.6365,"['top-tier on trailing_pe (percentile 100%)', 'top-tier on fcf_yield (percentile 78%)']",[]
CREI.L,earnings_quality,Earnings Quality,False,0.3333,['ratio=2.94%'],"['weak free-cash conversion', 'operating cash below earnings']"
CREI.L,financial_health,Financial Health,False,0.4,"['D/E=38%', 'leverage=26.4%']","['weak liquidity', 'high net debt/EBITDA', 'weak interest coverage']"
DFS.L,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=9.3', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.15', 'Dividend payer: yield=72.00%']",['current ratio < 2']
DFS.L,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=9.3', 'P/B < 3: P/B=1.15', 'ROE > 8%: ROE=13.4%', 'Positive earnings growth: growth=88.2%']",['excessive leverage']
DFS.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
DFS.L,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=1.15'],['too much leverage']
DFS.L,deep_value,Deep Value,False,0.5,['EV/EBITDA=7.5'],['P/B not below 1.0']
DFS.L,earnings_yield,Earnings Yield,True,0.8993,['E/P=10.8% (P/E=9.3)'],[]
DFS.L,fcf_yield,FCF Yield,True,1.0,['FCF yield=32.0%'],[]
DFS.L,low_pe_high_yield,Low P/E + High Yield,True,1.0,"['P/E=9.3', 'yield=72.0%']",[]
DFS.L,lynch_peg,Lynch PEG,True,0.8949,"['PEG=0.11', 'growth=88.2%']",[]
DFS.L,neff_pegy,Neff PEGY,True,0.9422,"['PEGY=0.06', 'growth=88.2%', 'yield=72.0%']",[]
