ticker,model_id,model_name,passed,score,reasons,failed_criteria
ABN.AS,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=14.7', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.12', 'Dividend payer: yield=332.00%']",['current ratio < 2']
ABN.AS,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=14.7', 'P/B < 3: P/B=1.12', 'ROE > 8%: ROE=8.4%', 'Positive earnings growth: growth=15.8%']",['excessive leverage']
ABN.AS,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ABN.AS,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=1.12'],['too much leverage']
ABN.AS,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
ABN.AS,earnings_yield,Earnings Yield,False,0.5653,['E/P=6.8% (P/E=14.7)'],['earnings yield 6.8% below 8%']
ABN.AS,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
ABN.AS,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=332.0%'],['P/E not below 12.0']
ABN.AS,lynch_peg,Lynch PEG,True,0.0671,"['PEG=0.93', 'growth=15.8%']",[]
ABN.AS,neff_pegy,Neff PEGY,True,0.9576,"['PEGY=0.04', 'growth=15.8%', 'yield=332.0%']",[]
ABN.AS,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=26.5%', 'P/E < 20: P/E=14.7']","['ROE below 12%', 'high leverage', 'FCF yield below 3%']"
ABN.AS,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=26.5%', 'P/E < 25.0: P/E=14.7']","['ROE too low', 'too much debt']"
ABN.AS,economic_moat,Economic Moat,False,0.25,['wide margin=26.5%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']"
ABN.AS,high_dividend,High Dividend Yield,False,0.4583,"['yield=332.0%', 'universe rank 46%']",['not in top quartile for yield']
ABN.AS,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=332.0%', 'earnings growth: growth=15.8%', 'reasonable P/E: P/E=14.7']",[]
ABN.AS,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
ABN.AS,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
ABN.AS,dreman_contrarian,Dreman Contrarian,True,0.6961,"['low P/E rank 75%', 'low P/B rank 88%']",['dividend yield below median']
ABN.AS,piotroski_f,Piotroski F-Score,False,0.3333,"['F-Score=3/9', 'positive net income', 'leverage declining', 'no share dilution']","['F-Score 3/9 below 7', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'current ratio improving', 'gross margin improving', 'asset turnover improving']"
ABN.AS,composite_value,Composite Value,False,0.4769,['top-tier on price_to_book (percentile 80%)'],"['missing fcf_yield', 'missing ev_ebitda']"
ABN.AS,earnings_quality,Earnings Quality,False,0.3333,['insufficient data — skipped'],"['weak free-cash conversion', 'missing OCF']"
ABN.AS,financial_health,Financial Health,False,0.4,"['leverage=19.2%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']"
ADYEN.AS,graham_defensive,Graham Defensive,False,0.0,[],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2', 'no dividend']"
ADYEN.AS,graham_enterprising,Graham Enterprising,False,0.8,"['P/E < 25: P/E=24.5', 'Debt/equity < 100%: D/E=5%', 'ROE > 8%: ROE=22.3%', 'Positive earnings growth: growth=11.9%']",['P/B >= 3']
ADYEN.AS,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ADYEN.AS,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=5%'],['P/B too high']
ADYEN.AS,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
