ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
ACS.MC,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=250.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
ACS.MC,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=24.3', 'ROE > 8%: ROE=24.1%', 'Positive earnings growth: growth=5.0%']","['P/B >= 3', 'excessive leverage']",
ACS.MC,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
ACS.MC,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
ACS.MC,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
ACS.MC,earnings_yield,Earnings Yield,False,0.3423,['E/P=4.1% (P/E=24.3)'],['earnings yield 4.1% below 8%'],
ACS.MC,fcf_yield,FCF Yield,True,1.0,['FCF yield=12.3%'],[],
ACS.MC,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=250.0%'],['P/E not below 12.0'],
ACS.MC,lynch_peg,Lynch PEG,False,0.0,"['PEG=4.87', 'growth=5.0%']",['PEG 4.87 >= 1.0'],
ACS.MC,neff_pegy,Neff PEGY,True,0.9045,"['PEGY=0.10', 'growth=5.0%', 'yield=250.0%']",[],
ACS.MC,quality_value,Quality Value,False,0.4,"['ROE >= 12%: ROE=24.1%', 'FCF yield >= 3%: FCF yield=12.3%']","['thin margins', 'high leverage', 'P/E >= 20']",
ACS.MC,buffett_quality,Buffett Quality,False,0.5,"['ROE >= 15%: ROE=24.1%', 'P/E < 25.0: P/E=24.3']","['too much debt', 'thin margins']",
ACS.MC,economic_moat,Economic Moat,False,0.25,['high ROE=24.1%'],"['ROA below 8%', 'margins below 12%', 'leverage too high']",
ACS.MC,high_dividend,High Dividend Yield,False,0.2941,"['yield=250.0%', 'universe rank 29%']",['not in top quartile for yield'],
ACS.MC,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=250.0%', 'earnings growth: growth=5.0%', 'reasonable P/E: P/E=24.3']",[],
ACS.MC,magic_formula,Magic Formula,False,0.418,[],['below top half on combined Magic Formula rank'],
ACS.MC,acquirers_multiple,Acquirer's Multiple,False,0.4643,"['EV/EBIT=17.6', 'universe rank 46%']","['EV/EBIT 17.6 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
ACS.MC,dreman_contrarian,Dreman Contrarian,False,0.2646,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
ACS.MC,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'asset turnover improving']","['F-Score 5/9 below 7', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': True}]}"
ACS.MC,composite_value,Composite Value,False,0.469,[],[],
ACS.MC,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=3.13', 'OCF/NI=3.21', 'ratio=-4.64%']",[],
ACS.MC,financial_health,Financial Health,False,0.6,"['leverage=33.9%', 'CR=1.16', 'ratio=0.2']","['high debt to equity', 'weak interest coverage']",
ACX.MC,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=354.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
ACX.MC,graham_enterprising,Graham Enterprising,False,0.2,['P/B < 3: P/B=2.04'],"['P/E >= 25', 'excessive leverage', 'ROE <= 8%', 'negative earnings growth']",
ACX.MC,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
ACX.MC,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
ACX.MC,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
ACX.MC,earnings_yield,Earnings Yield,False,0.1059,['E/P=1.3% (P/E=78.7)'],['earnings yield 1.3% below 8%'],
ACX.MC,fcf_yield,FCF Yield,False,0.2073,['FCF yield=2.1%'],['FCF yield 2.1% below 5%'],
ACX.MC,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=354.0%'],['P/E not below 12.0'],
ACX.MC,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[],
ACX.MC,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=354.0%']",['PEGY nan >= 1.0'],
ACX.MC,quality_value,Quality Value,False,0.0,[],"['ROE below 12%', 'thin margins', 'high leverage', 'P/E >= 20', 'FCF yield below 3%']",
ACX.MC,buffett_quality,Buffett Quality,False,0.0,[],"['ROE too low', 'too much debt', 'thin margins', 'P/E too high']",
ACX.MC,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
ACX.MC,high_dividend,High Dividend Yield,False,0.4706,"['yield=354.0%', 'universe rank 47%']",['not in top quartile for yield'],
ACX.MC,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=354.0%'],"['earnings not growing', 'P/E out of range']",
ACX.MC,magic_formula,Magic Formula,False,0.1462,[],['below top half on combined Magic Formula rank'],
ACX.MC,acquirers_multiple,Acquirer's Multiple,False,0.1429,"['EV/EBIT=36.0', 'universe rank 14%']","['EV/EBIT 36.0 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
ACX.MC,dreman_contrarian,Dreman Contrarian,False,0.367,['low P/B rank 60%'],"['P/E not in bottom quartile', 'dividend yield below median']",
ACX.MC,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive operating cash flow', 'OCF > net income', 'no share dilution', 'gross margin improving', 'asset turnover improving']","['F-Score 5/9 below 7', 'positive net income', 'ROA improving', 'leverage declining', 'current ratio improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': False}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': True}]}"
ACX.MC,composite_value,Composite Value,False,0.3149,[],[],
ACX.MC,earnings_quality,Earnings Quality,False,0.5,['ratio=-8.82%'],['negative net income'],
ACX.MC,financial_health,Financial Health,False,0.6,"['leverage=38.4%', 'CR=1.89', 'ratio=3.5']","['high debt to equity', 'weak interest coverage']",
AMS.MC,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=284.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
AMS.MC,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=17.8', 'Debt/equity < 100%: D/E=79%', 'ROE > 8%: ROE=26.5%']","['P/B >= 3', 'negative earnings growth']",
AMS.MC,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
AMS.MC,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
AMS.MC,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
AMS.MC,earnings_yield,Earnings Yield,False,0.4692,['E/P=5.6% (P/E=17.8)'],['earnings yield 5.6% below 8%'],
AMS.MC,fcf_yield,FCF Yield,True,1.0,['FCF yield=12.9%'],[],
AMS.MC,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=284.0%'],['P/E not below 12.0'],
AMS.MC,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
AMS.MC,neff_pegy,Neff PEGY,True,0.9369,"['PEGY=0.06', 'growth=-2.6%', 'yield=284.0%']",[],
AMS.MC,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=26.5%', 'Profit margin >= 5%: margin=19.9%', 'Debt/equity < 80%: D/E=79%', 'P/E < 20: P/E=17.8', 'FCF yield >= 3%: FCF yield=12.9%']",[],
AMS.MC,buffett_quality,Buffett Quality,True,0.75,"['ROE >= 15%: ROE=26.5%', 'margin >= 8%: margin=19.9%', 'P/E < 25.0: P/E=17.8']",['too much debt'],
AMS.MC,economic_moat,Economic Moat,True,0.75,"['high ROE=26.5%', 'solid ROA=11.6%', 'wide margin=19.9%']",['leverage too high'],
AMS.MC,high_dividend,High Dividend Yield,False,0.3529,"['yield=284.0%', 'universe rank 35%']",['not in top quartile for yield'],
AMS.MC,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=284.0%', 'reasonable P/E: P/E=17.8']",['earnings not growing'],
AMS.MC,magic_formula,Magic Formula,True,0.7837,"['earnings yield rank 68%', 'ROIC rank 89%']",[],
AMS.MC,acquirers_multiple,Acquirer's Multiple,False,0.7143,"['EV/EBIT=14.4', 'universe rank 71%']",['EV/EBIT 14.4 above 12.0'],
AMS.MC,dreman_contrarian,Dreman Contrarian,False,0.3061,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
