ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
AEM.TO,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=13.7', 'Current ratio >= 2: CR=3.15', 'Dividend payer: yield=120.00%']",['valuation too rich on P/B or P/E×P/B'],
AEM.TO,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=13.7', 'P/B < 3: P/B=2.77', 'Debt/equity < 100%: D/E=1%', 'ROE > 8%: ROE=22.3%', 'Positive earnings growth: growth=108.6%']",[],
AEM.TO,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
AEM.TO,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=1%'],['P/B too high'],
AEM.TO,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
AEM.TO,earnings_yield,Earnings Yield,False,0.6083,['E/P=7.3% (P/E=13.7)'],['earnings yield 7.3% below 8%'],
AEM.TO,fcf_yield,FCF Yield,False,0.4182,['FCF yield=4.2%'],['FCF yield 4.2% below 5%'],
AEM.TO,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=120.0%'],['P/E not below 12.0'],
AEM.TO,lynch_peg,Lynch PEG,True,0.8739,"['PEG=0.13', 'growth=108.6%']",[],
AEM.TO,neff_pegy,Neff PEGY,True,0.9401,"['PEGY=0.06', 'growth=108.6%', 'yield=120.0%']",[],
AEM.TO,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=22.3%', 'Profit margin >= 5%: margin=39.5%', 'Debt/equity < 80%: D/E=1%', 'P/E < 20: P/E=13.7', 'FCF yield >= 3%: FCF yield=4.2%']",[],
AEM.TO,buffett_quality,Buffett Quality,True,1.0,"['ROE >= 15%: ROE=22.3%', 'D/E < 60.0%: D/E=1%', 'margin >= 8%: margin=39.5%', 'P/E < 25.0: P/E=13.7']",[],
AEM.TO,economic_moat,Economic Moat,True,1.0,"['high ROE=22.3%', 'solid ROA=12.9%', 'wide margin=39.5%', 'low leverage D/E=1%']",[],
AEM.TO,high_dividend,High Dividend Yield,False,0.2909,"['yield=120.0%', 'universe rank 29%']",['not in top quartile for yield'],
AEM.TO,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=120.0%', 'earnings growth: growth=108.6%', 'reasonable P/E: P/E=13.7']",[],
AEM.TO,magic_formula,Magic Formula,True,0.7878,"['earnings yield rank 70%', 'ROIC rank 88%']",[],
AEM.TO,acquirers_multiple,Acquirer's Multiple,False,0.6792,"['EV/EBIT=15.7', 'universe rank 68%']",['EV/EBIT 15.7 above 12.0'],
AEM.TO,dreman_contrarian,Dreman Contrarian,False,0.5369,['low P/E rank 86%'],"['P/B not cheap vs universe', 'dividend yield below median']",
AEM.TO,piotroski_f,Piotroski F-Score,True,1.0,"['F-Score=9/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving', 'asset turnover improving']",[],"{'f_score': 9, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': True}]}"
AEM.TO,composite_value,Composite Value,False,0.6116,['top-tier on trailing_pe (percentile 71%)'],[],
AEM.TO,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=0.96', 'OCF/NI=1.53', 'ratio=-6.83%']",[],
AEM.TO,financial_health,Financial Health,True,1.0,"['D/E=1%', 'leverage=0.9%', 'CR=2.02', 'ratio=-0.3', 'coverage=189.2x']",[],
ATD.TO,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=97.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
ATD.TO,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=18.7', 'Debt/equity < 100%: D/E=76%', 'ROE > 8%: ROE=20.1%']","['P/B >= 3', 'negative earnings growth']",
