ticker,model_id,model_name,passed,score,reasons,failed_criteria
0005.HK,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=374.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
0005.HK,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=16.5', 'P/B < 3: P/B=1.97', 'ROE > 8%: ROE=11.6%', 'Positive earnings growth: growth=2.6%']",['excessive leverage']
0005.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
0005.HK,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']"
0005.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
0005.HK,earnings_yield,Earnings Yield,False,0.504,['E/P=6.0% (P/E=16.5)'],['earnings yield 6.0% below 8%']
0005.HK,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
0005.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=374.0%'],['P/E not below 12.0']
0005.HK,lynch_peg,Lynch PEG,False,0.0,"['PEG=6.36', 'growth=2.6%']","['growth 2.6% below 5% floor', 'PEG 6.36 >= 1.0']"
0005.HK,neff_pegy,Neff PEGY,True,0.9561,"['PEGY=0.04', 'growth=2.6%', 'yield=374.0%']",[]
0005.HK,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=35.0%', 'P/E < 20: P/E=16.5']","['ROE below 12%', 'high leverage', 'FCF yield below 3%']"
0005.HK,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=35.0%', 'P/E < 25.0: P/E=16.5']","['ROE too low', 'too much debt']"
0005.HK,economic_moat,Economic Moat,False,0.25,['wide margin=35.0%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']"
0005.HK,high_dividend,High Dividend Yield,False,0.4026,"['yield=374.0%', 'universe rank 40%']",['not in top quartile for yield']
0005.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=374.0%', 'reasonable P/E: P/E=16.5']",['earnings not growing']
0005.HK,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
0005.HK,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
0005.HK,dreman_contrarian,Dreman Contrarian,False,0.3826,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']"
0005.HK,piotroski_f,Piotroski F-Score,False,0.3333,"['F-Score=3/9', 'positive net income', 'leverage declining', 'no share dilution']","['F-Score 3/9 below 7', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'current ratio improving', 'gross margin improving', 'asset turnover improving']"
0005.HK,composite_value,Composite Value,False,0.2615,[],"['missing fcf_yield', 'missing ev_ebitda']"
0005.HK,earnings_quality,Earnings Quality,False,0.3333,['insufficient data — skipped'],"['weak free-cash conversion', 'missing OCF']"
0005.HK,financial_health,Financial Health,False,0.4,"['leverage=7.9%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']"
0388.HK,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=334.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
0388.HK,graham_enterprising,Graham Enterprising,False,0.6,"['Debt/equity < 100%: D/E=2%', 'ROE > 8%: ROE=35.0%', 'Positive earnings growth: growth=27.0%']","['P/E >= 25', 'P/B >= 3']"
0388.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
0388.HK,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=2%'],['P/B too high']
0388.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
0388.HK,earnings_yield,Earnings Yield,False,0.3176,['E/P=3.8% (P/E=26.2)'],['earnings yield 3.8% below 8%']
0388.HK,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
0388.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=334.0%'],['P/E not below 12.0']
0388.HK,lynch_peg,Lynch PEG,True,0.0281,"['PEG=0.97', 'growth=27.0%']",[]
0388.HK,neff_pegy,Neff PEGY,True,0.9273,"['PEGY=0.07', 'growth=27.0%', 'yield=334.0%']",[]
0388.HK,quality_value,Quality Value,False,0.6,"['ROE >= 12%: ROE=35.0%', 'Profit margin >= 5%: margin=62.6%', 'Debt/equity < 80%: D/E=2%']","['P/E >= 20', 'FCF yield below 3%']"
0388.HK,buffett_quality,Buffett Quality,False,0.75,"['ROE >= 15%: ROE=35.0%', 'D/E < 60.0%: D/E=2%', 'margin >= 8%: margin=62.6%']",['P/E too high']
0388.HK,economic_moat,Economic Moat,True,0.75,"['high ROE=35.0%', 'wide margin=62.6%', 'low leverage D/E=2%']",['ROA below 8%']
0388.HK,high_dividend,High Dividend Yield,False,0.3377,"['yield=334.0%', 'universe rank 34%']",['not in top quartile for yield']
0388.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=334.0%', 'earnings growth: growth=27.0%']",['P/E out of range']
0388.HK,magic_formula,Magic Formula,True,0.8363,"['earnings yield rank 74%', 'ROIC rank 93%']",[]
0388.HK,acquirers_multiple,Acquirer's Multiple,True,0.7013,"['EV/EBIT=11.7', 'universe rank 70%']",[]
0388.HK,dreman_contrarian,Dreman Contrarian,False,0.1539,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']"
0388.HK,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'leverage declining', 'no share dilution', 'gross margin improving']","['F-Score 4/9 below 7', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'current ratio improving', 'asset turnover improving']"
0388.HK,composite_value,Composite Value,False,0.175,[],['missing fcf_yield']
0388.HK,earnings_quality,Earnings Quality,False,0.3333,['insufficient data — skipped'],"['weak free-cash conversion', 'missing OCF']"
0388.HK,financial_health,Financial Health,False,0.8,"['D/E=2%', 'leverage=0.1%', 'ratio=-13.3', 'coverage=3.5x']",['weak liquidity']
0939.HK,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=5.5', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=0.53', 'Dividend payer: yield=529.00%']",['current ratio < 2']
0939.HK,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=5.5', 'P/B < 3: P/B=0.53', 'ROE > 8%: ROE=9.5%']","['excessive leverage', 'negative earnings growth']"
0939.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
0939.HK,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=0.53'],['too much leverage']
0939.HK,deep_value,Deep Value,False,0.5,['P/B=0.53'],['EV/EBITDA not below 8']
0939.HK,earnings_yield,Earnings Yield,True,1.0,['E/P=18.1% (P/E=5.5)'],[]
0939.HK,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
0939.HK,low_pe_high_yield,Low P/E + High Yield,True,1.0,"['P/E=5.5', 'yield=529.0%']",[]
0939.HK,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth']
0939.HK,neff_pegy,Neff PEGY,True,0.9896,"['PEGY=0.01', 'growth=0.0%', 'yield=529.0%']",[]
0939.HK,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=55.6%', 'P/E < 20: P/E=5.5']","['ROE below 12%', 'high leverage', 'FCF yield below 3%']"
0939.HK,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=55.6%', 'P/E < 25.0: P/E=5.5']","['ROE too low', 'too much debt']"
0939.HK,economic_moat,Economic Moat,False,0.25,['wide margin=55.6%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']"
0939.HK,high_dividend,High Dividend Yield,False,0.6364,"['yield=529.0%', 'universe rank 64%']",['not in top quartile for yield']
0939.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=529.0%', 'reasonable P/E: P/E=5.5']",['earnings not growing']
0939.HK,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs']
0939.HK,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT']
0939.HK,dreman_contrarian,Dreman Contrarian,True,0.8272,"['low P/E rank 97%', 'low P/B rank 87%', 'dividend rank 64%']",[]
