ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
360.AX,graham_defensive,Graham Defensive,False,0.25,['Current ratio >= 2: CR=5.60'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'no dividend']",
360.AX,graham_enterprising,Graham Enterprising,False,0.4,"['Debt/equity < 100%: D/E=51%', 'ROE > 8%: ROE=30.1%']","['P/E >= 25', 'P/B >= 3', 'negative earnings growth']",
360.AX,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
360.AX,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
360.AX,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
360.AX,earnings_yield,Earnings Yield,False,0.3213,['E/P=3.9% (P/E=25.9)'],['earnings yield 3.9% below 8%'],
360.AX,fcf_yield,FCF Yield,False,0.1473,['FCF yield=1.5%'],['FCF yield 1.5% below 5%'],
360.AX,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']",
360.AX,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
360.AX,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=-25.1%', 'yield=nan%']",['PEGY nan >= 1.0'],
360.AX,quality_value,Quality Value,False,0.6,"['ROE >= 12%: ROE=30.1%', 'Profit margin >= 5%: margin=25.7%', 'Debt/equity < 80%: D/E=51%']","['P/E >= 20', 'FCF yield below 3%']",
360.AX,buffett_quality,Buffett Quality,False,0.75,"['ROE >= 15%: ROE=30.1%', 'D/E < 60.0%: D/E=51%', 'margin >= 8%: margin=25.7%']",['P/E too high'],
360.AX,economic_moat,Economic Moat,True,0.75,"['high ROE=30.1%', 'solid ROA=15.7%', 'wide margin=25.7%']",['leverage too high'],
360.AX,high_dividend,High Dividend Yield,False,0.0,[],['could not rank yield'],
360.AX,dividend_growth,Dividend Growth,False,0.0,[],"['yield too low', 'earnings not growing', 'P/E out of range']",
360.AX,magic_formula,Magic Formula,False,0.157,[],['below top half on combined Magic Formula rank'],
360.AX,acquirers_multiple,Acquirer's Multiple,False,0.0296,"['EV/EBIT=259.2', 'universe rank 3%']","['EV/EBIT 259.2 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
360.AX,dreman_contrarian,Dreman Contrarian,False,0.2539,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
360.AX,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'current ratio improving', 'gross margin improving']","['F-Score 5/9 below 7', 'OCF > net income', 'leverage declining', 'no share dilution', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
360.AX,composite_value,Composite Value,False,0.4922,['top-tier on trailing_pe (percentile 100%)'],['missing dividend_yield'],
360.AX,earnings_quality,Earnings Quality,False,0.3333,['ratio=6.48%'],"['weak free-cash conversion', 'operating cash below earnings']",
360.AX,financial_health,Financial Health,True,1.0,"['D/E=51%', 'leverage=32.3%', 'CR=6.26', 'ratio=-6.1', 'insufficient data — skipped']",[],
4DX.AX,graham_defensive,Graham Defensive,False,0.25,['Current ratio >= 2: CR=30.79'],"['no positive trailing P/E', 'valuation too rich on P/B or P/E×P/B', 'no dividend']",
4DX.AX,graham_enterprising,Graham Enterprising,False,0.2,['Debt/equity < 100%: D/E=7%'],"['missing P/E', 'P/B >= 3', 'ROE <= 8%', 'negative earnings growth']",
4DX.AX,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
4DX.AX,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=7%'],['P/B too high'],
4DX.AX,deep_value,Deep Value,False,0.5,['EV/EBITDA=-34.1'],['P/B not below 1.0'],
4DX.AX,earnings_yield,Earnings Yield,False,1.0,['E/P=nan% (P/E=nan)'],['earnings yield nan% below 8%'],
4DX.AX,fcf_yield,FCF Yield,False,0.0,['FCF yield=-6.3%'],['FCF yield -6.3% below 5%'],
4DX.AX,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']",
4DX.AX,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[],
4DX.AX,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=nan%']",['PEGY nan >= 1.0'],
4DX.AX,quality_value,Quality Value,False,0.2,['Debt/equity < 80%: D/E=7%'],"['ROE below 12%', 'thin margins', 'missing P/E', 'FCF yield below 3%']",
4DX.AX,buffett_quality,Buffett Quality,False,0.25,['D/E < 60.0%: D/E=7%'],"['ROE too low', 'thin margins', 'missing P/E']",
4DX.AX,economic_moat,Economic Moat,False,0.25,['low leverage D/E=7%'],"['ROE below 18%', 'ROA below 8%', 'margins below 12%']",
4DX.AX,high_dividend,High Dividend Yield,False,0.0,[],['could not rank yield'],
4DX.AX,dividend_growth,Dividend Growth,False,0.0,[],"['yield too low', 'earnings not growing', 'P/E out of range']",
4DX.AX,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
4DX.AX,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
4DX.AX,dreman_contrarian,Dreman Contrarian,False,0.0,[],['missing valuation data'],
4DX.AX,piotroski_f,Piotroski F-Score,False,0.2222,"['F-Score=2/9', 'ROA improving', 'asset turnover improving']","['F-Score 2/9 below 7', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving']","{'f_score': 2, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': False}, {'name': 'positive operating cash flow', 'passed': False}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': False}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': True}]}"
4DX.AX,composite_value,Composite Value,False,0.3239,['top-tier on ev_ebitda (percentile 94%)'],"['missing trailing_pe', 'missing dividend_yield']",
4DX.AX,earnings_quality,Earnings Quality,False,0.0,[],"['missing net income', 'high accruals vs assets']",
4DX.AX,financial_health,Financial Health,False,0.8,"['D/E=7%', 'leverage=4.5%', 'insufficient data — skipped', 'insufficient data — skipped']",['weak liquidity'],
A2M.AX,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=203.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
A2M.AX,graham_enterprising,Graham Enterprising,False,0.4,"['Debt/equity < 100%: D/E=2%', 'ROE > 8%: ROE=16.6%']","['P/E >= 25', 'P/B >= 3', 'negative earnings growth']",
A2M.AX,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
A2M.AX,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=2%'],['P/B too high'],
A2M.AX,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
A2M.AX,earnings_yield,Earnings Yield,False,0.2908,['E/P=3.5% (P/E=28.7)'],['earnings yield 3.5% below 8%'],
A2M.AX,fcf_yield,FCF Yield,True,0.7083,['FCF yield=7.1%'],[],
A2M.AX,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=203.0%'],['P/E not below 12.0'],
A2M.AX,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
A2M.AX,neff_pegy,Neff PEGY,True,0.853,"['PEGY=0.15', 'growth=-8.1%', 'yield=203.0%']",[],
A2M.AX,quality_value,Quality Value,True,0.8,"['ROE >= 12%: ROE=16.6%', 'Profit margin >= 5%: margin=5.8%', 'Debt/equity < 80%: D/E=2%', 'FCF yield >= 3%: FCF yield=7.1%']",['P/E >= 20'],
A2M.AX,buffett_quality,Buffett Quality,False,0.5,"['ROE >= 15%: ROE=16.6%', 'D/E < 60.0%: D/E=2%']","['thin margins', 'P/E too high']",
