ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
MMM,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=171.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
MMM,graham_enterprising,Graham Enterprising,False,0.4,"['ROE > 8%: ROE=81.9%', 'Positive earnings growth: growth=32.8%']","['P/E >= 25', 'P/B >= 3', 'excessive leverage']",
MMM,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
MMM,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
MMM,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
MMM,earnings_yield,Earnings Yield,False,0.2569,['E/P=3.1% (P/E=32.4)'],['earnings yield 3.1% below 8%'],
MMM,fcf_yield,FCF Yield,True,0.6741,['FCF yield=6.7%'],[],
MMM,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=171.0%'],['P/E not below 12.0'],
MMM,lynch_peg,Lynch PEG,True,0.0109,"['PEG=0.99', 'growth=32.8%']",[],
MMM,neff_pegy,Neff PEGY,True,0.8408,"['PEGY=0.16', 'growth=32.8%', 'yield=171.0%']",[],
MMM,quality_value,Quality Value,False,0.6,"['ROE >= 12%: ROE=81.9%', 'Profit margin >= 5%: margin=11.9%', 'FCF yield >= 3%: FCF yield=6.7%']","['high leverage', 'P/E >= 20']",
MMM,buffett_quality,Buffett Quality,False,0.5,"['ROE >= 15%: ROE=81.9%', 'margin >= 8%: margin=11.9%']","['too much debt', 'P/E too high']",
MMM,economic_moat,Economic Moat,False,0.5,"['high ROE=81.9%', 'solid ROA=8.6%']","['margins below 12%', 'leverage too high']",
MMM,high_dividend,High Dividend Yield,False,0.4877,"['yield=171.0%', 'universe rank 49%']",['not in top quartile for yield'],
MMM,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=171.0%', 'earnings growth: growth=32.8%']",['P/E out of range'],
MMM,magic_formula,Magic Formula,True,0.6325,"['earnings yield rank 60%', 'ROIC rank 66%']",[],
MMM,acquirers_multiple,Acquirer's Multiple,False,0.5726,"['EV/EBIT=21.3', 'universe rank 57%']","['EV/EBIT 21.3 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
MMM,dreman_contrarian,Dreman Contrarian,False,0.2897,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
MMM,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'current ratio improving', 'no share dilution', 'asset turnover improving']","['F-Score 5/9 below 7', 'ROA improving', 'OCF > net income', 'leverage declining', 'gross margin improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': True}]}"
MMM,composite_value,Composite Value,False,0.5756,"['top-tier on dividend_yield (percentile 82%)', 'top-tier on fcf_yield (percentile 95%)']",[],
MMM,earnings_quality,Earnings Quality,False,0.6667,"['FCF/NI=1.95', 'ratio=2.50%']",['operating cash below earnings'],
MMM,financial_health,Financial Health,False,0.8,"['leverage=33.4%', 'CR=1.71', 'ratio=1.2', 'coverage=5.1x']",['high debt to equity'],
AOS,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=232.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
AOS,graham_enterprising,Graham Enterprising,False,0.6,"['P/E < 25: P/E=17.3', 'Debt/equity < 100%: D/E=37%', 'ROE > 8%: ROE=27.1%']","['P/B >= 3', 'negative earnings growth']",
AOS,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
AOS,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=37%'],['P/B too high'],
AOS,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
AOS,earnings_yield,Earnings Yield,False,0.4812,['E/P=5.8% (P/E=17.3)'],['earnings yield 5.8% below 8%'],
AOS,fcf_yield,FCF Yield,True,0.5735,['FCF yield=5.7%'],[],
AOS,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=232.0%'],['P/E not below 12.0'],
AOS,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
AOS,neff_pegy,Neff PEGY,True,0.9202,"['PEGY=0.08', 'growth=-15.0%', 'yield=232.0%']",[],
AOS,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=27.1%', 'Profit margin >= 5%: margin=13.1%', 'Debt/equity < 80%: D/E=37%', 'P/E < 20: P/E=17.3', 'FCF yield >= 3%: FCF yield=5.7%']",[],
AOS,buffett_quality,Buffett Quality,True,1.0,"['ROE >= 15%: ROE=27.1%', 'D/E < 60.0%: D/E=37%', 'margin >= 8%: margin=13.1%', 'P/E < 25.0: P/E=17.3']",[],
AOS,economic_moat,Economic Moat,True,1.0,"['high ROE=27.1%', 'solid ROA=17.4%', 'wide margin=13.1%', 'low leverage D/E=37%']",[],
AOS,high_dividend,High Dividend Yield,False,0.6232,"['yield=232.0%', 'universe rank 62%']",['not in top quartile for yield'],
AOS,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=232.0%', 'reasonable P/E: P/E=17.3']",['earnings not growing'],
AOS,magic_formula,Magic Formula,True,0.8908,"['earnings yield rank 88%', 'ROIC rank 90%']",[],
AOS,acquirers_multiple,Acquirer's Multiple,False,0.8463,"['EV/EBIT=12.3', 'universe rank 85%']",['EV/EBIT 12.3 above 12.0'],
AOS,dreman_contrarian,Dreman Contrarian,True,0.6024,"['low P/E rank 77%', 'dividend rank 62%']",['P/B not cheap vs universe'],
AOS,piotroski_f,Piotroski F-Score,True,0.8889,"['F-Score=8/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'no share dilution', 'gross margin improving', 'asset turnover improving']",['current ratio improving'],"{'f_score': 8, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': True}]}"
AOS,composite_value,Composite Value,True,0.8411,"['top-tier on trailing_pe (percentile 92%)', 'top-tier on dividend_yield (percentile 91%)', 'top-tier on fcf_yield (percentile 89%)', 'top-tier on ev_ebitda (percentile 88%)']",[],
AOS,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=0.89', 'OCF/NI=1.13', 'ratio=-2.25%']",[],
AOS,financial_health,Financial Health,True,1.0,"['D/E=37%', 'leverage=6.1%', 'CR=1.50', 'ratio=0.6', 'coverage=53.9x']",[],
ABT,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=227.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
ABT,graham_enterprising,Graham Enterprising,False,0.4,"['Debt/equity < 100%: D/E=63%', 'ROE > 8%: ROE=10.6%']","['P/E >= 25', 'P/B >= 3', 'negative earnings growth']",
ABT,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
ABT,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
ABT,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
ABT,earnings_yield,Earnings Yield,False,0.2315,['E/P=2.8% (P/E=36.0)'],['earnings yield 2.8% below 8%'],
ABT,fcf_yield,FCF Yield,False,0.3745,['FCF yield=3.7%'],['FCF yield 3.7% below 5%'],
ABT,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=227.0%'],['P/E not below 12.0'],
ABT,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
ABT,neff_pegy,Neff PEGY,True,0.7994,"['PEGY=0.20', 'growth=-47.5%', 'yield=227.0%']",[],
ABT,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=11.6%', 'Debt/equity < 80%: D/E=63%', 'FCF yield >= 3%: FCF yield=3.7%']","['ROE below 12%', 'P/E >= 20']",
ABT,buffett_quality,Buffett Quality,False,0.25,['margin >= 8%: margin=11.6%'],"['ROE too low', 'too much debt', 'P/E too high']",
ABT,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
ABT,high_dividend,High Dividend Yield,False,0.5961,"['yield=227.0%', 'universe rank 60%']",['not in top quartile for yield'],
ABT,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=227.0%'],"['earnings not growing', 'P/E out of range']",
ABT,magic_formula,Magic Formula,False,0.4412,['ROIC rank 51%'],['below top half on combined Magic Formula rank'],
ABT,acquirers_multiple,Acquirer's Multiple,False,0.3453,"['EV/EBIT=27.4', 'universe rank 35%']","['EV/EBIT 27.4 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
ABT,dreman_contrarian,Dreman Contrarian,False,0.4493,['dividend rank 60%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
