ticker,model_id,model_name,passed,score,reasons,failed_criteria
MMM,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=195.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
MMM,graham_enterprising,Graham Enterprising,False,0.2,['ROE > 8%: ROE=71.5%'],"['P/E >= 25', 'P/B >= 3', 'excessive leverage', 'negative earnings growth']"
MMM,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
MMM,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']"
MMM,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
MMM,earnings_yield,Earnings Yield,False,0.2714,['E/P=3.3% (P/E=30.7)'],['earnings yield 3.3% below 8%']
MMM,fcf_yield,FCF Yield,False,0.2794,['FCF yield=2.8%'],['FCF yield 2.8% below 5%']
MMM,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=195.0%'],['P/E not below 12.0']
MMM,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth']
MMM,neff_pegy,Neff PEGY,True,0.8023,"['PEGY=0.20', 'growth=-39.7%', 'yield=195.0%']",[]
MMM,quality_value,Quality Value,False,0.4,"['ROE >= 12%: ROE=71.5%', 'Profit margin >= 5%: margin=11.1%']","['high leverage', 'P/E >= 20', 'FCF yield below 3%']"
MMM,buffett_quality,Buffett Quality,False,0.5,"['ROE >= 15%: ROE=71.5%', 'margin >= 8%: margin=11.1%']","['too much debt', 'P/E too high']"
MMM,economic_moat,Economic Moat,False,0.5,"['high ROE=71.5%', 'solid ROA=8.6%']","['margins below 12%', 'leverage too high']"
MMM,high_dividend,High Dividend Yield,False,0.5235,"['yield=195.0%', 'universe rank 52%']",['not in top quartile for yield']
MMM,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=195.0%'],"['earnings not growing', 'P/E out of range']"
MMM,magic_formula,Magic Formula,True,0.6713,"['earnings yield rank 68%', 'ROIC rank 67%']",[]
MMM,acquirers_multiple,Acquirer's Multiple,False,0.6441,"['EV/EBIT=18.9', 'universe rank 64%']",['EV/EBIT 18.9 above 12.0']
MMM,dreman_contrarian,Dreman Contrarian,False,0.3209,['dividend rank 52%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']"
MMM,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'current ratio improving', 'no share dilution', 'asset turnover improving']","['F-Score 4/9 below 7', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'gross margin improving']"
