ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
AEWU.L,graham_defensive,Graham Defensive,False,0.25,['P/B < 1.5 or P/E×P/B < 22.5: P/B=0.99'],"['P/E >= 15', 'current ratio < 2', 'no dividend']",
AEWU.L,graham_enterprising,Graham Enterprising,False,0.4,"['P/E < 25: P/E=17.8', 'P/B < 3: P/B=0.99']","['excessive leverage', 'ROE <= 8%', 'negative earnings growth']",
AEWU.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
AEWU.L,schloss,Schloss Low P/B,False,0.5,['P/B < 1.2: P/B=0.99'],['too much leverage'],
AEWU.L,deep_value,Deep Value,False,0.5,['P/B=0.99'],['EV/EBITDA not below 8'],
AEWU.L,earnings_yield,Earnings Yield,False,0.4673,['E/P=5.6% (P/E=17.8)'],['earnings yield 5.6% below 8%'],
AEWU.L,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%'],
AEWU.L,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']",
AEWU.L,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[],
AEWU.L,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=nan%']",['PEGY nan >= 1.0'],
AEWU.L,quality_value,Quality Value,False,0.2,['P/E < 20: P/E=17.8'],"['ROE below 12%', 'thin margins', 'high leverage', 'FCF yield below 3%']",
AEWU.L,buffett_quality,Buffett Quality,False,0.25,['P/E < 25.0: P/E=17.8'],"['ROE too low', 'too much debt', 'thin margins']",
AEWU.L,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
AEWU.L,high_dividend,High Dividend Yield,False,0.0,[],['could not rank yield'],
AEWU.L,dividend_growth,Dividend Growth,False,0.3333,['reasonable P/E: P/E=17.8'],"['yield too low', 'earnings not growing']",
AEWU.L,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
AEWU.L,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
AEWU.L,dreman_contrarian,Dreman Contrarian,False,0.391,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
AEWU.L,piotroski_f,Piotroski F-Score,False,0.4444,"['F-Score=4/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'no share dilution']","['F-Score 4/9 below 7', 'ROA improving', 'leverage declining', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 4, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
AEWU.L,composite_value,Composite Value,False,0.3846,[],"['missing dividend_yield', 'missing fcf_yield', 'missing ev_ebitda']",
AEWU.L,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=1.64', 'ratio=-2.66%']",['weak free-cash conversion'],
AEWU.L,financial_health,Financial Health,False,0.4,"['leverage=25.0%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']",
APTD.L,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=276.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
APTD.L,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=2.01', 'Debt/equity < 100%: D/E=15%']","['P/E >= 25', 'ROE <= 8%', 'negative earnings growth']",
APTD.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
APTD.L,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=15%'],['P/B too high'],
APTD.L,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
APTD.L,earnings_yield,Earnings Yield,False,0.2976,['E/P=3.6% (P/E=28.0)'],['earnings yield 3.6% below 8%'],
APTD.L,fcf_yield,FCF Yield,True,0.9069,['FCF yield=9.1%'],[],
APTD.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=276.0%'],['P/E not below 12.0'],
APTD.L,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
APTD.L,neff_pegy,Neff PEGY,True,0.8949,"['PEGY=0.11', 'growth=-9.7%', 'yield=276.0%']",[],
APTD.L,quality_value,Quality Value,False,0.6,"['Profit margin >= 5%: margin=6.2%', 'Debt/equity < 80%: D/E=15%', 'FCF yield >= 3%: FCF yield=9.1%']","['ROE below 12%', 'P/E >= 20']",
APTD.L,buffett_quality,Buffett Quality,False,0.25,['D/E < 60.0%: D/E=15%'],"['ROE too low', 'thin margins', 'P/E too high']",
APTD.L,economic_moat,Economic Moat,False,0.25,['low leverage D/E=15%'],"['ROE below 18%', 'ROA below 8%', 'margins below 12%']",
APTD.L,high_dividend,High Dividend Yield,False,0.2619,"['yield=276.0%', 'universe rank 26%']",['not in top quartile for yield'],
APTD.L,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=276.0%'],"['earnings not growing', 'P/E out of range']",
APTD.L,magic_formula,Magic Formula,True,0.5332,['ROIC rank 62%'],[],
APTD.L,acquirers_multiple,Acquirer's Multiple,False,0.3529,"['EV/EBIT=13.0', 'universe rank 35%']","['EV/EBIT 13.0 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
APTD.L,dreman_contrarian,Dreman Contrarian,False,0.2027,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
APTD.L,piotroski_f,Piotroski F-Score,True,0.8889,"['F-Score=8/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving', 'asset turnover improving']",['ROA improving'],"{'f_score': 8, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': True}]}"
APTD.L,composite_value,Composite Value,False,0.525,"['top-tier on trailing_pe (percentile 100%)', 'top-tier on fcf_yield (percentile 75%)']",[],
APTD.L,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=2.36', 'OCF/NI=2.50', 'ratio=-5.69%']",[],
APTD.L,financial_health,Financial Health,False,0.8,"['D/E=15%', 'leverage=7.8%', 'ratio=-2.5', 'coverage=21.1x']",['weak liquidity'],
ATS.L,graham_defensive,Graham Defensive,False,0.5,"['P/E < 15: P/E=6.8', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=0.89']","['current ratio < 2', 'no dividend']",
