ticker,model_id,model_name,passed,score,reasons,failed_criteria
ABI.BR,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=162.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
ABI.BR,graham_enterprising,Graham Enterprising,False,0.8,"['P/E < 25: P/E=22.4', 'P/B < 3: P/B=1.81', 'Debt/equity < 100%: D/E=75%', 'Positive earnings growth: growth=20.3%']",['ROE <= 8%']
ABI.BR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ABI.BR,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']"
ABI.BR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']"
ABI.BR,earnings_yield,Earnings Yield,False,0.3715,['E/P=4.5% (P/E=22.4)'],['earnings yield 4.5% below 8%']
ABI.BR,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%']
ABI.BR,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=162.0%'],['P/E not below 12.0']
ABI.BR,lynch_peg,Lynch PEG,False,0.0,"['PEG=1.10', 'growth=20.3%']",['PEG 1.10 >= 1.0']
ABI.BR,neff_pegy,Neff PEGY,True,0.877,"['PEGY=0.12', 'growth=20.3%', 'yield=162.0%']",[]
ABI.BR,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=11.9%', 'Debt/equity < 80%: D/E=75%']","['ROE below 12%', 'P/E >= 20', 'FCF yield below 3%']"
ABI.BR,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=11.9%', 'P/E < 25.0: P/E=22.4']","['ROE too low', 'too much debt']"
ABI.BR,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']"
ABI.BR,high_dividend,High Dividend Yield,False,0.2632,"['yield=162.0%', 'universe rank 26%']",['not in top quartile for yield']
ABI.BR,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=162.0%', 'earnings growth: growth=20.3%', 'reasonable P/E: P/E=22.4']",[]
ABI.BR,magic_formula,Magic Formula,True,0.683,"['earnings yield rank 78%', 'ROIC rank 59%']",[]
ABI.BR,acquirers_multiple,Acquirer's Multiple,False,0.7778,"['EV/EBIT=13.5', 'universe rank 78%']",['EV/EBIT 13.5 above 12.0']
ABI.BR,dreman_contrarian,Dreman Contrarian,False,0.4309,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']"
ABI.BR,piotroski_f,Piotroski F-Score,False,0.6667,"['F-Score=6/9', 'positive net income', 'ROA improving', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving']","['F-Score 6/9 below 7', 'positive operating cash flow', 'OCF > net income', 'asset turnover improving']"
ABI.BR,composite_value,Composite Value,False,0.4812,[],['missing fcf_yield']
ABI.BR,earnings_quality,Earnings Quality,False,0.3333,['insufficient data — skipped'],"['weak free-cash conversion', 'missing OCF']"
ABI.BR,financial_health,Financial Health,False,0.8,"['D/E=75%', 'leverage=33.4%', 'ratio=3.1', 'coverage=4.1x']",['weak liquidity']
ACKB.BR,graham_defensive,Graham Defensive,False,0.5,"['P/E < 15: P/E=14.8', 'Dividend payer: yield=172.00%']","['valuation too rich on P/B or P/E×P/B', 'current ratio < 2']"
ACKB.BR,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=14.8', 'P/B < 3: P/B=1.54', 'Debt/equity < 100%: D/E=30%', 'ROE > 8%: ROE=11.0%', 'Positive earnings growth: growth=23.1%']",[]
ACKB.BR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)']
ACKB.BR,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=30%'],['P/B too high']
