ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
ABDP.L,graham_defensive,Graham Defensive,False,0.75,"['P/B < 1.5 or P/E×P/B < 22.5: P/B=1.35', 'Current ratio >= 2: CR=2.00', 'Dividend payer: yield=128.00%']",['no positive trailing P/E'],
ABDP.L,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=1.35', 'Debt/equity < 100%: D/E=3%']","['missing P/E', 'ROE <= 8%', 'negative earnings growth']",
ABDP.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
ABDP.L,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=3%'],['P/B too high'],
ABDP.L,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
ABDP.L,earnings_yield,Earnings Yield,False,1.0,['E/P=nan% (P/E=nan)'],['earnings yield nan% below 8%'],
ABDP.L,fcf_yield,FCF Yield,True,0.7077,['FCF yield=7.1%'],[],
ABDP.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=128.0%'],['P/E not below 12.0'],
ABDP.L,lynch_peg,Lynch PEG,False,0.0,"['PEG=nan', 'growth=nan%']",[],
ABDP.L,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=nan%', 'yield=128.0%']",['PEGY nan >= 1.0'],
ABDP.L,quality_value,Quality Value,False,0.4,"['Debt/equity < 80%: D/E=3%', 'FCF yield >= 3%: FCF yield=7.1%']","['ROE below 12%', 'thin margins', 'missing P/E']",
ABDP.L,buffett_quality,Buffett Quality,False,0.25,['D/E < 60.0%: D/E=3%'],"['ROE too low', 'thin margins', 'missing P/E']",
ABDP.L,economic_moat,Economic Moat,False,0.25,['low leverage D/E=3%'],"['ROE below 18%', 'ROA below 8%', 'margins below 12%']",
ABDP.L,high_dividend,High Dividend Yield,False,0.1628,"['yield=128.0%', 'universe rank 16%']","['not in top quartile for yield', 'no positive earnings']",
ABDP.L,dividend_growth,Dividend Growth,False,0.3333,['dividend payer: yield=128.0%'],"['earnings not growing', 'P/E out of range']",
ABDP.L,magic_formula,Magic Formula,True,0.7974,"['earnings yield rank 91%', 'ROIC rank 68%']",[],
ABDP.L,acquirers_multiple,Acquirer's Multiple,True,0.6957,"['EV/EBIT=5.6', 'universe rank 70%']",[],
ABDP.L,dreman_contrarian,Dreman Contrarian,False,0.406,['low P/B rank 65%'],['dividend yield below median'],
ABDP.L,piotroski_f,Piotroski F-Score,True,0.8889,"['F-Score=8/9', 'positive net income', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'no share dilution', 'gross margin improving']",['asset turnover improving'],"{'f_score': 8, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': True}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': True}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': True}, {'name': 'asset turnover improving', 'passed': False}]}"
ABDP.L,composite_value,Composite Value,False,0.2212,[],['missing trailing_pe'],
ABDP.L,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=1.00', 'OCF/NI=2.06', 'ratio=-6.72%']",[],
ABDP.L,financial_health,Financial Health,True,1.0,"['D/E=3%', 'leverage=1.7%', 'CR=2.21', 'ratio=-6.7', 'coverage=58.2x']",[],
AMS.L,graham_defensive,Graham Defensive,False,0.5,"['Current ratio >= 2: CR=2.79', 'Dividend payer: yield=102.00%']","['P/E >= 15', 'valuation too rich on P/B or P/E×P/B']",
AMS.L,graham_enterprising,Graham Enterprising,False,0.6,"['P/B < 3: P/B=2.33', 'Debt/equity < 100%: D/E=31%', 'Positive earnings growth: growth=26.7%']","['P/E >= 25', 'ROE <= 8%']",
AMS.L,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
AMS.L,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=31%'],['P/B too high'],
AMS.L,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
AMS.L,earnings_yield,Earnings Yield,False,0.1488,['E/P=1.8% (P/E=56.0)'],['earnings yield 1.8% below 8%'],
AMS.L,fcf_yield,FCF Yield,False,0.1847,['FCF yield=1.8%'],['FCF yield 1.8% below 5%'],
AMS.L,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=102.0%'],['P/E not below 12.0'],
AMS.L,lynch_peg,Lynch PEG,False,0.0,"['PEG=2.10', 'growth=26.7%']",['PEG 2.10 >= 1.0'],
AMS.L,neff_pegy,Neff PEGY,True,0.5649,"['PEGY=0.44', 'growth=26.7%', 'yield=102.0%']",[],
AMS.L,quality_value,Quality Value,False,0.2,['Debt/equity < 80%: D/E=31%'],"['ROE below 12%', 'thin margins', 'P/E >= 20', 'FCF yield below 3%']",
