ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
ALTR.LS,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=526.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
ALTR.LS,graham_enterprising,Graham Enterprising,False,0.4,"['P/B < 3: P/B=2.51', 'Positive earnings growth: growth=109.6%']","['P/E >= 25', 'excessive leverage', 'ROE <= 8%']",
ALTR.LS,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
ALTR.LS,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
ALTR.LS,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
ALTR.LS,earnings_yield,Earnings Yield,False,0.0351,['E/P=0.4% (P/E=237.5)'],['earnings yield 0.4% below 8%'],
ALTR.LS,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%'],
ALTR.LS,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=526.0%'],['P/E not below 12.0'],
ALTR.LS,lynch_peg,Lynch PEG,False,0.0,"['PEG=2.17', 'growth=109.6%']",['PEG 2.17 >= 1.0'],
ALTR.LS,neff_pegy,Neff PEGY,True,0.6263,"['PEGY=0.37', 'growth=109.6%', 'yield=526.0%']",[],
ALTR.LS,quality_value,Quality Value,False,0.0,[],"['ROE below 12%', 'thin margins', 'high leverage', 'P/E >= 20', 'FCF yield below 3%']",
ALTR.LS,buffett_quality,Buffett Quality,False,0.0,[],"['ROE too low', 'too much debt', 'thin margins', 'P/E too high']",
ALTR.LS,economic_moat,Economic Moat,False,0.0,[],"['ROE below 18%', 'ROA below 8%', 'margins below 12%', 'leverage too high']",
ALTR.LS,high_dividend,High Dividend Yield,True,0.75,"['yield=526.0%', 'universe rank 75%']",[],
ALTR.LS,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=526.0%', 'earnings growth: growth=109.6%']",['P/E out of range'],
ALTR.LS,magic_formula,Magic Formula,False,0.1027,[],['below top half on combined Magic Formula rank'],
ALTR.LS,acquirers_multiple,Acquirer's Multiple,False,0.0714,"['EV/EBIT=41.8', 'universe rank 7%']","['EV/EBIT 41.8 above 12.0', 'not in top 40% cheapest on EV/EBIT']",
ALTR.LS,dreman_contrarian,Dreman Contrarian,False,0.4069,['dividend rank 75%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
ALTR.LS,piotroski_f,Piotroski F-Score,False,0.2222,"['F-Score=2/9', 'positive net income', 'no share dilution']","['F-Score 2/9 below 7', 'positive operating cash flow', 'ROA improving', 'OCF > net income', 'leverage declining', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 2, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': False}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': False}, {'name': 'leverage declining', 'passed': False}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
ALTR.LS,composite_value,Composite Value,False,0.3906,['top-tier on dividend_yield (percentile 75%)'],['missing fcf_yield'],
ALTR.LS,earnings_quality,Earnings Quality,False,0.0,[],"['weak free-cash conversion', 'operating cash below earnings', 'high accruals vs assets']",
ALTR.LS,financial_health,Financial Health,False,0.4,"['leverage=48.4%', 'CR=1.45']","['high debt to equity', 'high net debt/EBITDA', 'weak interest coverage']",
